Restaurant Name,Restaurant Area,Restaurant Rating,Restaurant Review,Latitude,Longitude,Website,Restaurant Address,Price for 2,Additional Info,Province,City,District/Kecamatan,Delivery Service,Place Type,Cuisine Regionality,Cuisines,alkoholtersedia,areamerokok,bawapulangtersedia,brunch,buffet,dessertsandbakes,didalamruangan,hanyabawapulang,hanyabir,hanyauntukreservasimeja,hanyawinedanbir,kehidupanmalam,liveentertainment,livemusic,makandengangrup,makanmewah,menyediakancocktail,parkirgratis,parkirvalettersedia,prasmanan,ramahuntukanak,ramahvegetarian,reservasimejadirekomendasikan,rooftop,ruangpribaditersedia,ruangsholat,sarapan,tempatdudukdiluar,wifitersedia
Pho Street,Puri Indah,4.1,280,-6.188875,106.73898100000001,https://www.zomato.com/id/jakarta/pho-street-puri-indah,"Lippo Mall Puri @ The St. Moritz, Lantai 1, Jl. Puri Indah Boulevard, Blok U No. 1, Puri Indah, Jakarta",250000,"['Bawa Pulang Tersedia', 'Reservasi meja direkomendasikan', 'Wifi Tersedia', 'Di dalam ruangan']",DKI Jakarta,Jakarta Barat,Kembangan,No,['Casual Dining'],['Vietnam'],['Kopi'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ombe Kofie,Senopati,4.4,276,-6.2435046867,106.808946915,https://www.zomato.com/id/jakarta/ombe-kofie-senopati,"Jl. Cikajang No. 63, Senopati, Jakarta",150000,"['Bawa Pulang Tersedia', 'Area Merokok', 'Wifi Tersedia', 'Di dalam ruangan']",DKI Jakarta,Jakarta Selatan,Kebayoran Baru,No,['Kafe'],['Asia'],['Kopi'],0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kyoto Gion Cafe,Kemang,4.1,105,-6.256823000000001,106.814651,https://www.zomato.com/id/jakarta/kyoto-gion-cafe-kemang,"Jl. Kemang Raya No. 8B, Kemang, Jakarta",200000,"['Pesan Antar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Hanya Bir', 'Bawa Pulang Tersedia']",DKI Jakarta,Jakarta Selatan,Mampang Prapatan,Yes,"['Casual Dining', 'Kafe']","['No Region', 'Jepang']",['Sushi'],0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7 Speed Coffee,Kemang,4.4,586,-6.2578448513,106.82086262799999,https://www.zomato.com/id/jakarta/7-speed-coffee-kemang,"Jl. Kemang Utara Raya No. 33-1, Kemang, Jakarta",160000,"['Desserts and Bakes', 'Sarapan', 'Di dalam ruangan', 'Tempat duduk di luar', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']",DKI Jakarta,Jakarta Selatan,Mampang Prapatan,Yes,['Kafe'],"['No Region', 'Itali']","['Desserts', 'Kopi', 'Minuman']",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Kohicha Cafe,Kelapa Gading,4.3,326,-6.1457260543,106.896148882,https://www.zomato.com/id/jakarta/kohicha-cafe-kelapa-gading,"Ruko Sentra Bisnis Artha Gading, Jl. Boulevard Artha Gading, Blok A6A No. 21, Kelapa Gading, Jakarta 14240",150000,"['Pesan Antar', 'Ruang Pribadi Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Ruang Sholat', 'Area Merokok', 'No Additional Info', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']",DKI Jakarta,Jakarta Utara,Kelapa Gading,Yes,['Kafe'],"['Jepang', 'No Region', 'Barat']",['Kopi'],0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1
Gordi HQ,Cilandak,4.3,653,-6.2841949999999995,106.811778,https://www.zomato.com/id/jakarta/gordi-hq-cilandak,"Jl. Jeruk Purut Dalam No. 25, Cilandak, Jakarta 12560",150000,"['Desserts and Bakes', 'Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']",DKI Jakarta,Jakarta Selatan,Pasar Minggu,No,['Kafe'],['Indonesia'],['Kopi'],0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Vong Kitchen,SCBD,4.3,443,-6.226178783300001,106.808134876,https://www.zomato.com/id/jakarta/vong-kitchen-scbd,"Alila Hotel, Lot 11 Jl. Jenderal Sudirman Kav. 52-53, SCBD, Jakarta 12190",800000,"['Alkohol Tersedia', 'Di dalam ruangan', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Ruang Sholat', 'Area Merokok', 'Menyediakan cocktail', 'Wifi Tersedia']",DKI Jakarta,Jakarta Selatan,Kebayoran Baru,No,['Casual Dining'],['Barat'],['Kopi'],1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
La Posta - Taste Of Argentina,Sudirman,4.4,213,-6.208219000000001,106.818918,https://www.zomato.com/id/jakarta/la-posta-taste-of-argentina-sudirman,"Jl. Karet Pasar Baru Timur 5 No. 25, Sudirman, Jakarta",400000,"['Ramah untuk Anak', 'Di dalam ruangan', 'Hanya Wine dan Bir', 'Reservasi meja direkomendasikan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']",DKI Jakarta,Jakarta Pusat,Tanah Abang,Yes,['Casual Dining'],"['Spanyol', 'Amerika Latin']",['Steak'],0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Yakiniku Kintan Buffet,Karet,4.3,275,-6.2243839678,106.823481135,https://www.zomato.com/id/jakarta/yakiniku-kintan-buffet-karet,"Ciputra World, Lotte Shopping Avenue, Lantai 1, Jl. Prof Dr Satrio, Karet, Jakarta, Karet, Karet",600000,"['Bawa Pulang Tersedia', 'Ruang Pribadi Tersedia', 'Reservasi meja direkomendasikan', 'Di dalam ruangan']",DKI Jakarta,Jakarta Selatan,Setiabudi,No,['Casual Dining'],['Jepang'],['Kopi'],0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
NoMiNoMi Delight,Pulo Gadung,4.2,413,-6.1936919999999995,106.893068,https://www.zomato.com/id/jakarta/nominomi-delight-pulogadung,"Jl. Pemuda No. 72-73 DE, Pulo Gadung, Jakarta Timur",120000,"['Desserts and Bakes', 'Di dalam ruangan', 'Ruang Sholat', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']",DKI Jakarta,Jakarta Timur,Pulogadung,No,['Quick Bites'],['Jepang'],"['Deli', 'Desserts', 'Bubble Tea']",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
