Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Rating,Restaurant Review,Restaurant Address,District/Kecamatan,City,Province,Additional Info
Bogor Steamboat Sukiyaki,['Casual Dining'],['Tea'],"['No Region', 'Indonesia', 'Jepang']",150000,3.3,16,"Pertokoan Bogor Indah Raya, Jl. KH. Sholeh Iskandar KM 6.6, Tanah Sareal, Bogor",Tanah Sereal,Bogor Kota,Jawa Barat,"['Tempat duduk di luar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Pesan Antar', 'Bawa Pulang Tersedia']"
Bakmi Prima,['Quick Bites'],['Bakmi'],['Indonesia'],100000,3.6,25,"Ruko Pasar Modern BSD, Blok K No. 07, Jl. Letjen Soetopo, Serpong, Tangerang",Serpong,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar']"
Red Snapper Café,['Kafe'],"['Tea', 'Kopi', 'Jus', 'Minuman']",['Indonesia'],100000,3.3,8,"Jl. Pluit Permai No. 1, Pluit, Jakarta 14450",Penjaringan,Jakarta Utara,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Live Entertainment', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia']"
Mie Aceh Bungong Seulanga,['Quick Bites'],['Bakmi'],"['Aceh', 'Indonesia']",60000,3.8,34,"Jl. Mampang Prapatan Raya IV, Mampang Prapatan, Jakarta",Mampang Prapatan,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Sarapan', 'Di dalam ruangan']"
Syubiduhaphap Shake and Grill House,['Quick Bites'],['Kopi'],"['Barat', 'Indonesia']",120000,3.5,16,"Jl. Raya Buaran No. 64B, Klender, Jakarta",Duren Sawit,Jakarta Timur,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Nasi Goreng Gila,['Quick Bites'],['Kopi'],"['Jawa', 'Indonesia']",100000,3.2,15,"Food Plaza, Jl. Outer Ring Road, Pantai Indah Kapuk, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Dapur Sedap,['Casual Dining'],['Kopi'],['Indonesia'],60000,3.3,5,"Jl. Taman Bintaro No. 8, Sektor 1, Bintaro, Jakarta",Pesanggrahan,Jakarta Selatan,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Hanya untuk reservasi meja', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Bakmi Pegambiran,['Quick Bites'],['Bakmi'],['Indonesia'],100000,3.4,7,"Jl. Pegambiran No. 46, Pulo Gadung, Jakarta",Pulogadung,Jakarta Timur,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Pundi Selera,['Kafe'],['Kopi'],['Indonesia'],100000,3.6,29,"Ruko Inkopal, Blok C No. 19, Jl. Boulevard Barat, Kelapa Gading, Jakarta",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Desserts and Bakes', 'Tempat duduk di luar', 'Sarapan', 'Di dalam ruangan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
TASA Swimming Pool & Cafe,"['Quick Bites', 'Kafe']",['Kopi'],"['No Region', 'Barat', 'Indonesia']",200000,3.3,5,"Jl. Salak No. 5, Pamulang, Tangerang 15416",Pamulang,Tangerang Selatan,Banten,"['Tempat duduk di luar', 'Sarapan', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan']"
Bobobi,['Kios'],"['Snacks', 'Makanan Jalanan']",['Indonesia'],50000,3.5,10,"Jl. Taman Sunter Indah No. 6, Sunter, Jakarta",Tanjung Priok,Jakarta Utara,DKI Jakarta,"['Hanya Bawa Pulang', 'Desserts and Bakes']"
TAKOYAE,['Quick Bites'],['Snacks'],['Jepang'],80000,3.6,4,"Jl. Keadilan Raya No. 2, Sukmajaya, Depok",Sukma Jaya,Depok,Jawa Barat,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Ai Kupie,['Toko Minuman'],['Kopi'],['Indonesia'],40000,3.6,11,"Jl. Bintaro Utama 5, Blok EA No. 25 D1, Pondok Aren, Tangerang",Pondok Aren,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Garage Cafe,"['Casual Dining', 'Kafe']",['Kopi'],"['No Region', 'Asia']",100000,3.5,5,"Jl. Pluit Permai I No. 46, Penjaringan, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Sarapan', 'Di dalam ruangan']"
Kedai Kawa Wahidin,"['Quick Bites', 'Kafe']",['Desserts'],['Padang'],80000,3.0,9,"Jl. DR Saharjo No. 36, Tebet, Jakarta",Setiabudi,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Desserts and Bakes', 'Di dalam ruangan']"
Rantang Medan,['Quick Bites'],['Kopi'],['Medan'],60000,3.1,8,"Ruko Pasar 8, RD No. 11, Jl. Alam Utama, Serpong Utara, Tangerang",Serpong Utara,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Sarapan', 'Di dalam ruangan']"
Sam Gelato & Cafe,"['Kafe', 'Dessert Parlor']","['Desserts', 'Kopi', 'Ice Cream']",['No Region'],100000,3.0,10,"Taman Impian Jaya Ancol, Jl. Pintu Timur, Ancol, Jakarta",Pademangan,Jakarta Utara,DKI Jakarta,"['Desserts and Bakes', 'Tempat duduk di luar', 'Di dalam ruangan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Biaya masuk']"
Kedai Pedestrian,['Kafe'],"['Tea', 'Desserts', 'Kopi']",['Indonesia'],80000,3.5,20,"Jl. Percetakan Negara V No. 23, Cempaka Putih, Jakarta",Cempaka Putih,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Desserts and Bakes', 'Tempat duduk di luar', 'Di dalam ruangan']"
Fu Mu,['Casual Dining'],['Kopi'],['Chinese'],200000,3.1,11,"Pluit Village, Lantai 1, Jl Pluit Indah Raya, Pluit, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Reservasi meja direkomendasikan', 'Wifi Tersedia', 'Di dalam ruangan']"
Al - Amak 360,['Quick Bites'],['Kopi'],"['Timur Tengah', 'Indonesia']",100000,3.2,6,"Jl. Kejaksaan Raya No. 38G, Pondok Bambu, Jakarta",Duren Sawit,Jakarta Timur,DKI Jakarta,"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Area Merokok']"
Token,['Quick Bites'],['Kopi'],"['Taiwanese', 'Chinese']",100000,3.7,63,"Green Central City, Jl. Gajah Mada No. 188, Gajah Mada, Jakarta",Tamansari,Jakarta Barat,DKI Jakarta,"['Tempat duduk di luar', 'Hanya Wine dan Bir', 'Di dalam ruangan', 'Area Merokok', 'Menyediakan cocktail', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Bakso Solcap,['Quick Bites'],['Bakso'],['Indonesia'],60000,3.0,4,"Jl. Raya Hankam No. 115, Pondok Melati, Bekasi",Pondok Melati,Bekasi Kota,Jawa Barat,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Workshop Cafe,"['Quick Bites', 'Kafe']",['Dimsum'],"['No Region', 'Indonesia']",120000,3.0,6,"Ruko ITC Cempaka Mas Mega Grosir, Blok Q No. 18, Jl. Letjen Suprapto, Kemayoran, Jakarta",Kemayoran,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Tempat duduk di luar', 'Hanya Bir']"
Dapur Makassar,['Food Court'],['Soto'],['Makassar'],100000,2.7,7,"D' Hoek, Jl. Bintaro Utama, Bintaro, Jakarta",Pesanggrahan,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
