Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Rating,Restaurant Review,Restaurant Address,District/Kecamatan,City,Province,Additional Info
Holy Smokes,['Casual Dining'],"['Grill House', 'Steak']",['Barat'],500000,4.4,1437,"Jl. Wolter Monginsidi No. 27, Senopati, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Di dalam ruangan', 'Hanya Wine dan Bir', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Ruang Sholat', 'Wifi Tersedia']"
Pempek Megaria,['Quick Bites'],['Pempek'],['Palembang'],70000,4.3,461,"Metropole 21, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Tjikinii Lima,['Casual Dining'],['Kopi'],"['Indonesia', 'Barat']",300000,4.0,391,"Jl. Cikini I No. 5, Cikini, Jakarta 10330",Menteng,Jakarta Pusat,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Gado-Gado Bon-Bin,['Quick Bites'],['Makanan Sehat'],"['Jawa', 'Indonesia']",90000,4.0,177,"Jl. Cikini 4 No. 5, Cikini, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
RM Wong Tegal,['Quick Bites'],['Satay'],"['Jawa', 'Indonesia']",100000,3.9,12,"Jl. Tanjung Duren Barat 6 No. 5, Tanjung Duren, Jakarta",Grogol Petamburan,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Sarapan', 'Di dalam ruangan']"
Martabak Elin Bandung,['Dessert Parlor'],"['Martabak', 'Makanan Jalanan']",['Indonesia'],80000,3.9,26,"Jl. Pinang Mas III/A 8, Pondok Indah, Jakarta",Kebayoran Lama,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes', 'Pesan Antar']"
Bakso Sapi Rudi,['Quick Bites'],"['Bakso', 'Meat']",['Indonesia'],60000,3.9,22,"Jl. Rajawali Selatan I No. 54A, Gunung Sahari, Jakarta",Sawah Besar,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
A Siang,['Quick Bites'],['Kopi'],['Chinese'],65000,3.9,7,"Ruko Taman Palem Lestari, Blok B16 No. 9, Jl. Taman Palem Lestari, Cengkareng, Jakarta",Cengkareng,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar']"
Tropicale Juice Bar,['Toko Minuman'],"['Desserts', 'Jus', 'Minuman']",['Indonesia'],50000,3.9,9,"Ampera Garden, Jl. Ampera Raya No. 116, Cilandak, Jakarta",Pasar Minggu,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Pesan Antar']"
Sate Taichan Bang Tetew,['Quick Bites'],['Satay'],['Indonesia'],80000,3.9,36,"Jl. Danau Sunter Utara, Blok J 12 No. 26-28, Sunter, Jakarta 14350",Tanjung Priok,Jakarta Utara,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Area Merokok', 'Makan Dengan Grup', 'Bawa Pulang Tersedia']"
Kopi Lugu,['Toko Minuman'],"['Kopi', 'Minuman', 'Makanan Jalanan']",['No Region'],60000,3.9,9,"Epicentrum Walk, Lantai Ground, Jl. HR. Rasuna Said, Kuningan, Jakarta",Setiabudi,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Ruang Pribadi Tersedia', 'Pesan Antar']"
Nasi Uduk Mpok Iyoh,['Quick Bites'],['Kopi'],"['Asia', 'Indonesia', 'Betawi']",100000,3.9,36,"Jl. Pahlawan No. 95, Ciputat Timur, Tangerang",Ciputat Timur,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Pinokio Asli,['Kaki Lima'],['Seafood'],['Chinese'],100000,3.9,8,"Jl. Samanhudi No. 40B, Pasar Baru, Jakarta",Sawah Besar,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Tempat duduk di luar']"
Cirengcrispi,"['Food Court', 'Kios']",['Snacks'],['Sunda'],40000,3.9,6,"Mall of Indonesia, Lantai Lower Ground, Pasar MOI, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Queen Café & Restaurant,"['Casual Dining', 'Kafe']",['Minuman'],"['Asia', 'Barat']",250000,3.9,8,"Ruko Mendrizio Square New, Jl. Jendral Sudirman No. 68-69, Serpong Utara, Tangerang 15639",Pagedangan,Tangerang Kabupaten,Banten,"['Pesan Antar', 'Ruang Pribadi Tersedia', 'Sarapan', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Area Merokok', 'Hanya Bir', 'Bawa Pulang Tersedia']"
Geprek Ayam Keliling,['Food Court'],['Ayam'],"['Jawa', 'Indonesia']",60000,3.9,7,"ITC Cempaka Mas, Lantai 5, Food Court, Jl. Letjen Suprapto, Kemayoran, Jakarta",Kemayoran,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Warung Makan Betawi Bang Tamit Riman,['Quick Bites'],['Satay'],"['Indonesia', 'Betawi']",80000,3.5,4,"Jl. Bina Asih II, Jatiasih, Bekasi",Jatiasih,Bekasi Kota,Jawa Barat,"['Di dalam ruangan', 'Ruang Sholat', 'Area Merokok', 'Makan Dengan Grup', 'Bawa Pulang Tersedia']"
Lagoon Lounge - The Sultan Hotel Jakarta,"['Casual Dining', 'Lounge']",['Kopi'],"['Indonesia', 'Barat']",350000,3.9,6,"The Sultan Hotel Jakarta, Jl. Gatot Subroto, Senayan, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Sarapan', 'Di dalam ruangan', 'Hanya Wine dan Bir', 'Reservasi meja direkomendasikan', 'Wifi Tersedia']"
Waroeng KG,['Quick Bites'],['Kopi'],['Jawa'],50000,3.9,4,"Ruko Permata Niaga 1, Jl. Taman Royal, Cipondoh, Tangerang",Tangerang,Tangerang Kota,Banten,"['Bawa Pulang Tersedia', 'Sarapan', 'Di dalam ruangan']"
Ayam Prekman,['Quick Bites'],"['Makanan Cepat Saji', 'Ayam']",['Indonesia'],60000,3.9,28,"Jl. Bugis No. 118, Tanjung Priok, Jakarta",Tanjung Priok,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Takoyaki Grill House,['Food Court'],['Snacks'],"['Barat', 'Jepang']",50000,3.9,5,"H.O.P (Hang Out Place), Jl. Pluit Putra Raya No. 21, Pluit, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Mie Bangka AFI,['Quick Bites'],['Bakmi'],"['Bangka', 'Medan', 'Indonesia']",40000,3.9,17,"Ruko Sentra Onderdil II, Blok FB, Jl. Harapan Indah, Medan Satria, Bekasi",Medan Satria,Bekasi Kota,Jawa Barat,"['Hanya Bawa Pulang', 'Sarapan']"
Imanoya,['Quick Bites'],['Kopi'],"['Indonesia', 'Jepang']",120000,3.9,37,"Jl. Yado 3 Blok A No. 4, Pondok Indah, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok', 'Pesan Antar']"
Kula Coffee,['Toko Minuman'],"['Kopi', 'Minuman']",['No Region'],50000,3.2,4,"Dharmawangsa Square, Lantai 2, Unit 215, Jl. Dharmawangsa VI, Dharmawangsa, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Batavia Cafe,['Kafe'],"['Tea', 'Kopi']","['No Region', 'Indonesia']",150000,3.9,40,"Lotte Mall, Lantai Ground, Jl. MH. Thamrin CBD,Pondok Aren, Tangerang",Pondok Aren,Tangerang Selatan,Banten,"['Tempat duduk di luar', 'Di dalam ruangan', 'Live Entertainment', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Holland Bakery,['Toko Kue & Roti'],"['Desserts', 'Kue & Roti']",['No Region'],50000,3.1,7,"Ruko Citra, Jl. Utan Jati No. 3, Daan Mogot, Jakarta",Kalideres,Jakarta Barat,DKI Jakarta,"['Desserts and Bakes', 'Sarapan', 'Di dalam ruangan', 'Pesan Antar', 'Bawa Pulang Tersedia']"
Dapur Cokelat,['Toko Kue & Roti'],"['Desserts', 'Kue & Roti']",['Indonesia'],120000,4.0,93,"Jl. Kelapa Nias Raya, Blok QE 1 No. 3, Kelapa Gading, Jakarta",Kelapa Gading,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Desserts and Bakes', 'Pesan Antar']"
YOMS Kopi dan Gorengan,['Quick Bites'],"['Kopi', 'Snacks', 'Minuman']","['No Region', 'Indonesia']",100000,3.9,27,"Jl. Gading Selatan Blok AA 05/23, Serpong Utara, Tangerang",Kelapa Dua,Tangerang Kabupaten,Banten,"['Ruang Pribadi Tersedia', 'Sarapan', 'Di dalam ruangan', 'Tempat duduk di luar', 'Ruang Sholat', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Selasih by Dapur Mamih,['Quick Bites'],['Satay'],['Indonesia'],180000,4.2,239,"Jl. Wolter Monginsidi No. 59, Senopati, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Dapur Solo,['Casual Dining'],['Kopi'],['Jawa'],180000,2.6,14,"AEON Mall, Lantai 1, Jl. Jakarta Garden City, Cakung, Jakarta",Cakung,Jakarta Timur,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Korean BBQ Gahyo,['Casual Dining'],"['Grill House', 'Barbekyu']",['Korea'],500000,4.3,214,"SCBD Lot 6, Jl. Jenderal Sudirman, SCBD, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Di dalam ruangan', 'Wifi Tersedia', 'Reservasi meja direkomendasikan', 'Hanya Wine dan Bir']"
Botany All Day Dining  - Holiday Inn,['Casual Dining'],['Kopi'],"['Asia', 'Barat']",300000,3.7,56,"Holiday Inn, Jl. Griya Utama Blok B No. 1, Sunter, Jakarta",Tanjung Priok,Jakarta Utara,DKI Jakarta,"['Reservasi meja direkomendasikan', 'Wifi Tersedia', 'Di dalam ruangan']"
Soto Kudus,['Food Court'],['Soto'],"['Jawa', 'Indonesia']",50000,3.4,4,"LTC Glodok, Lantai 2, Food Court, Jl. Hayam Wuruk No. 127, Hayam Wuruk, Jakarta",Tamansari,Jakarta Barat,DKI Jakarta,['Di dalam ruangan']
Kepiting Sumo,['Food Court'],['Seafood'],['Asia'],100000,3.4,10,"Plaza Semanggi, Lantai 3A, Maxx Kitchen, Jl. Jenderal Sudirman, Sudirman, Jakarta",Setiabudi,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Little India Restaurant,['Casual Dining'],['Kopi'],['India'],180000,3.6,22,"Citywalk Sudirman, Lantai 1, Jl. KH Mas Mansyur, Sudirman, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['BYOB', 'Di dalam ruangan', 'Hanya Wine dan Bir', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Ninety-Nine,['Casual Dining'],['Kopi'],"['Barat', 'Fusion', 'Indonesia']",250000,4.2,647,"Grand Indonesia Mall, East Mall, Lantai Lower Ground, Jl. M.H. Thamrin No. 1, Thamrin, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Bakso Selera,['Kaki Lima'],['Bakso'],['Indonesia'],30000,3.8,12,"Jl. Balai Rakyat No 15, Pondok Bambu, Jakarta",Duren Sawit,Jakarta Timur,DKI Jakarta,"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan']"
Tako 'n Sushi Box,['Quick Bites'],"['Sushi', 'Snacks']",['Jepang'],80000,3.6,36,"TerasKota, Lantai 1, Jl. Pahlawan Seribu, Serpong, Tangerang",Serpong,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Routine Coffee & Eatery,['Kafe'],"['Tea', 'Kopi', 'Minuman']","['No Region', 'Indonesia']",210000,4.2,379,"Bintaro Sektor 7, Jl. Wahid Hasyim, Blok FG 14 No. 42, Pondok Aren, Tangerang",Pondok Aren,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Sarapan', 'Di dalam ruangan']"
Takumi Robata,['Casual Dining'],['Sushi'],['Jepang'],700000,4.1,138,"The MAJ Senayan, Senayan National Golf Club, Jl. Asia Afrika Pintu IX, Senayan, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Pesan Antar', 'Ruang Pribadi Tersedia', 'Di dalam ruangan', 'Makan Mewah', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia', 'Buffet']"
First Scoop,['Dessert Parlor'],['Ice Cream'],['Indonesia'],80000,3.5,16,"Pelaspas Dharmawangsa, Jl. Dharmawangsa Raya No. 4, Dharmawangsa, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Desserts and Bakes', 'Tempat duduk di luar', 'Di dalam ruangan', 'Prasmanan', 'Bawa Pulang Tersedia']"
Kazuhiro,['Casual Dining'],['Kopi'],['Jepang'],80000,3.9,145,"Supermall Karawaci Lt.1, D'Makan Sutra, Jl. Boulevard Diponegoro No.105, Karawaci, Tangerang",Kelapa Dua,Tangerang Kabupaten,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
OPEN Restaurant - DoubleTree by Hilton Jakarta Diponegoro,['Casual Dining'],['Kopi'],"['Eropa', 'Asia', 'Barat']",700000,4.2,249,"DoubleTree by Hilton Jakarta - Diponegoro, Jl. Pegangsaan Timur No. 17, Cikini - Menteng, Jakarta Pusat 10310",Menteng,Jakarta Pusat,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Alkohol Tersedia', 'Sarapan', 'Di dalam ruangan', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Ruang Sholat', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia', 'Buffet']"
Tjikini,"['Casual Dining', 'Kafe']",['Kopi'],['Indonesia'],180000,4.2,514,"Jl. Cikini No. 17, Cikini, Jakarta",Menteng,Jakarta Pusat,DKI Jakarta,"['Desserts and Bakes', 'Sarapan', 'Di dalam ruangan', 'Live Music', 'Ruang Sholat', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
LilSpago Cafe & Game House,['Kafe'],"['Kopi', 'Desserts']","['No Region', 'Barat', 'Itali']",100000,4.0,55,"Ruko Grand Galaxy City, Blok RSN 5 No. 22, Jl. Boulevard Raya Barat, Bekasi Selatan, Bekasi",Bekasi Selatan,Bekasi Kota,Jawa Barat,"['Ramah untuk Anak', 'Parkir Gratis', 'Tempat duduk di luar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'No Additional Info', 'Board Games', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Shanghai Express,['Casual Dining'],['Minuman'],['Chinese'],200000,3.2,21,"Metropole 21, Lantai 1, Jl. Pangeran Diponegoro No. 21, Menteng, Jakarta Pusat",Menteng,Jakarta Pusat,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Midori,['Casual Dining'],"['Sushi', 'Ramen']","['Indonesia', 'Jepang']",200000,4.1,175,"Jl. Pajajaran No. 53, Bogor Tengah, Bogor",Bogor Utara,Bogor Kota,Jawa Barat,"['Alkohol Tersedia', 'Di dalam ruangan', 'Live Music', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Menyediakan cocktail', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
WAN 23 Roast Duck,['Casual Dining'],['Kopi'],"['Barat', 'Chinese']",250000,4.3,390,"Citywalk Gajah Mada, Lantai 1, Jl. Gajah Mada No.211, Gajah Mada, Jakarta 11120",Tamansari,Jakarta Barat,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Bawa Pulang Tersedia']"
Caffo,"['Casual Dining', 'Kafe']","['Bubur', 'Kopi']","['Asia', 'Barat', 'Indonesia']",150000,3.7,10,"Ruko Cibubur Indah, Blok A No. 8, Jl. Raya Lapangan Tembak, Cibubur, Jakarta 13720",Ciracas,Jakarta Timur,DKI Jakarta,"['Ramah untuk Anak', 'Desserts and Bakes', 'Tempat duduk di luar', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Makan Dengan Grup', 'Pesan Antar', 'Wifi Tersedia']"
The Spoke Bistro,['Casual Dining'],['Kopi'],"['Asia', 'Barat']",250000,3.9,122,"Jl. Alam Sutera Boulevard Kav. 12A, Serpong Utara, Tangerang 15325",Serpong Utara,Tangerang Selatan,Banten,"['Pesan Antar', 'Ruang Pribadi Tersedia', 'Parkir Gratis', 'Di dalam ruangan', 'Parkir Valet Tersedia', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pilihan Vegan', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Mana Coffee,['Toko Minuman'],"['Kopi', 'Minuman']",['No Region'],70000,3.5,6,"PIK Office, Lantai 8, Jl. Boulevard No. 1, Pantai Indah Kapuk, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,['Hanya Bawa Pulang']
J STEAK,['Casual Dining'],"['Tea', 'Steak']","['No Region', 'Barat', 'Jepang']",40000,3.9,83,"Jl. Mahakam No. 11, Blok M, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Parkir Valet Tersedia', 'Wifi Tersedia', 'Reservasi meja direkomendasikan', 'Di dalam ruangan']"
Dim Sum Inc.,['Casual Dining'],['Dimsum'],['Chinese'],200000,3.9,633,"Plaza Festival, Lantai Lower Ground, Jl. HR Rasuna Said, Kuningan, Jakarta",Setiabudi,Jakarta Selatan,DKI Jakarta,"['Pesan Antar', 'Sarapan', 'Di dalam ruangan', 'Tempat duduk di luar', 'Reservasi meja direkomendasikan', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Riung Gili-Gili,['Casual Dining'],['Kopi'],"['Asia', 'Sunda', 'Indonesia']",220000,4.0,145,"Jl. Raya Pajajaran No. 69, Bogor Timur, Bogor",Bogor Timur,Bogor Kota,Jawa Barat,"['Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Sesepuh Kopi,['Kafe'],"['Kopi', 'Minuman']",['No Region'],80000,3.0,10,"Jl. Minangkabau No. 40, Manggarai, Jakarta",Setiabudi,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Tempat duduk di luar', 'Area Merokok']"
Yolé,['Dessert Parlor'],['Desserts'],['Indonesia'],100000,3.3,9,"Gandaria City, Lantai Upper Ground, Jl. Sultan Iskandar Muda, Gandaria, Jakarta",Kebayoran Lama,Jakarta Selatan,DKI Jakarta,"['Desserts and Bakes', 'Di dalam ruangan', 'Prasmanan', 'Pesan Antar', 'Bawa Pulang Tersedia']"
Tiaphari Resto & Cafe,"['Casual Dining', 'Kafe']",['Kopi'],"['No Region', 'Indonesia']",250000,3.8,24,"Sutera Food Park, Jl Alam Sutera Boulevard No. 16C, Serpong Utara, Tangerang",Serpong Utara,Tangerang Selatan,Banten,"['Sarapan', 'Di dalam ruangan', 'Tempat duduk di luar', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Damas Resto,['Casual Dining'],"['Seafood', 'Snacks']",['Arab'],100000,3.4,5,"Jl. Raya Condet No. 6, Kramat Jati, Jakarta",Kramatjati,Jakarta Timur,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia', 'Wifi Tersedia', 'Shisha']"
Fook Yew,['Casual Dining'],"['Minuman', 'Bubble Tea']",['Chinese'],300000,4.1,821,"Grand Indonesia Mall, West Mall, Lantai 3A, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Di dalam ruangan', 'Hanya Wine dan Bir', 'Reservasi meja direkomendasikan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Baked & Brewed Coffee,"['Toko Kue & Roti', 'Kafe']","['Tea', 'Kopi', 'Minuman', 'Kue & Roti']","['No Region', 'Indonesia']",150000,4.2,365,"Colonial Building, Jl. Salak No. 6, Bogor Tengah, Bogor",Bogor Tengah,Bogor Kota,Jawa Barat,"['Desserts and Bakes', 'Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Area Merokok', 'Pesan Antar']"
1945 Restaurant - Fairmont Jakarta,['Fine Dining'],['Kopi'],['Indonesia'],1000000,4.0,105,"Fairmont Jakarta, Jl. Asia Afrika No. 8, Senayan, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Reservasi meja direkomendasikan', 'Alkohol Tersedia', 'Di dalam ruangan']"
Hot Cwie Mie Malang,['Quick Bites'],['Bakmi'],"['Jawa', 'Indonesia']",180000,3.6,48,"Jl. TB Simatupang No. 81, Pasar Minggu, Jakarta",Pasar Minggu,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Pesan Antar']"
Nubi Coffee And Bites,['Kafe'],"['Kopi', 'Minuman']",['No Region'],80000,3.9,69,"Jl. Gaharu I 6A, Fatmawati, Jakarta 12410",Cilandak,Jakarta Selatan,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Parkir Gratis', 'Sarapan', 'Tempat duduk di luar', 'Di dalam ruangan', 'Live Music', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Area Merokok', 'Karaoke', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Waroeng Rempah JKT,['Quick Bites'],['Kopi'],['Indonesia'],100000,3.9,15,"Jl. Pejagalan I No. 12, Kota, Jakarta",Tambora,Jakarta Barat,DKI Jakarta,"['Tempat duduk di luar', 'Di dalam ruangan', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
RM Indah Jaya Minang,['Quick Bites'],['Kopi'],"['Sumatera', 'Padang']",100000,4.0,119,"Ruko Jalur Sutera, Blok 29C No. 46-48, Jl. Alam Sutera Boulevard, Pinang, Tangerang",Serpong Utara,Tangerang Selatan,Banten,"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Golden Egg Bakery,['Toko Kue & Roti'],"['Desserts', 'Kue & Roti']",['No Region'],100000,3.6,47,"Emporium Pluit Mall, Lantai Lower Ground Mezzanine, Jl. Pluit Selatan Raya, Penjaringan, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Hanya Bawa Pulang', 'Desserts and Bakes']"
Bakmi Loncat,['Quick Bites'],['Bakmi'],"['Indonesia', 'Chinese']",100000,3.8,55,"Ruko Taman Ratu Indah, Jl. Ratu Kemuning, Blok D1 No. 47, Green Ville, Jakarta",Kebon Jeruk,Jakarta Barat,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar']"
Lotus Mie Udang Singapore,['Quick Bites'],"['Bakmi', 'Seafood']","['Singapura', 'Asia', 'Indonesia']",100000,3.7,23,"Komplek Karina Sayang 2, Blok B No. 5, Jl. Jembatan Tiga, Penjaringan, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Sarapan', 'Pesan Antar']"
Gumati Cafe and Resto,"['Casual Dining', 'Kafe']",['Kopi'],"['No Region', 'Barat', 'Fusion', 'Indonesia']",200000,3.3,92,"Jl. Paledang No. 26 & 28, Bogor Tengah, Bogor 16122",Bogor Tengah,Bogor Kota,Jawa Barat,"['Brunch', 'Ruang Pribadi Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Live Entertainment', 'Area Merokok', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
Nasi Goreng Kebuli Apjay,['Kaki Lima'],['Makanan Jalanan'],"['Arab', 'Indonesia']",70000,4.3,467,"Jl. Panglima Polim 9, Dharmawangsa, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Bawa Pulang Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan']"
Ikan Bakar Bambu Haur,['Casual Dining'],['Seafood'],"['Asia', 'Chinese', 'Indonesia']",100000,3.7,24,"Jl. Alternatif Sentul No. 38, Sentul, Bogor",Babakan Madang,Bogor Kabupaten,Jawa Barat,"['Di dalam ruangan', 'Ruang Sholat', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Bawa Pulang Tersedia']"
The Halal Guys,['Food Court'],['Kopi'],['Timur Tengah'],200000,4.0,334,"Grand Indonesia Mall, West Mall, Lantai 5, FoodPrint, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",Tanah Abang,Jakarta Pusat,DKI Jakarta,"['Prasmanan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Pesan Antar']"
Sate Khas Senayan,['Casual Dining'],['Satay'],['Indonesia'],280000,3.1,71,"Emporium Pluit Mall, Lantai 2, Jl. Pluit Selatan Raya, Penjaringan, Jakarta",Penjaringan,Jakarta Utara,DKI Jakarta,"['Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
House89 Restaurant & Cafe,"['Casual Dining', 'Kafe']",['Kopi'],"['No Region', 'Indonesia']",250000,3.6,14,"Jl. Tanjung Duren Barat IV No. 1, Tanjung Duren, Jakarta 11470",Grogol Petamburan,Jakarta Barat,DKI Jakarta,"['Ruang Pribadi Tersedia', 'Tempat duduk di luar', 'Di dalam ruangan', 'Sarapan', 'Parkir Valet Tersedia', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Hanya Bir', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
"Ayam Bakar ""Kambal""",['Quick Bites'],['Ayam'],['Jawa'],100000,3.5,46,"Jl. Cipaku 1 No. 19, Senopati, Jakarta",Kebayoran Baru,Jakarta Selatan,DKI Jakarta,"['Sarapan', 'Di dalam ruangan', 'Pesan Antar', 'Bawa Pulang Tersedia', 'Wifi Tersedia']"
