,Restaurant Name,Place Type,Cuisines,Cuisine Regionality,Price for 2,Restaurant Address,Restaurant Rating,Restaurant Review,City,Province,Latitude,Longitude
6637,Star Dimsum,['Casual Dining'],['Dimsum'],['Chinese'],250000,"Mitra Terrace, Jl. Jenderal Gatot Subroto, Karet, Jakarta",3.1,24,Jakarta Selatan,DKI Jakarta,-6.2287628402,106.82033088
6638,Amoris,['Quick Bites'],['Soto'],"['Jawa', 'Asia']",60000,"Jl. Ir. H Juanda No. 25 C-D, Ciputat Timur, Tangerang",3.6,7,Tangerang Selatan,Banten,-6.296312,106.765594
6639,Otentik Kitchen,['Quick Bites'],['Kopi'],['Indonesia'],120000,"Ruko Gadget, Blok A No. 70, Jl. Boulevard Gading Serpong, Serpong Utara, Tangerang",3.3,9,Tangerang Kabupaten,Banten,-6.247007193300001,106.62276405799999
6640,SAIA Kopi Karawaci,['Toko Minuman'],"['Kopi', 'Minuman']",['No Region'],30000,"Jl. Boulevard Jend. Sudirman, Cibodas, Tangerang",3.5,5,Tangerang Kota,Banten,-6.220233,106.623285
6641,Pondok Bakso Babe Tiyo 97,['Quick Bites'],"['Bakso', 'Bakmi']","['Asia', 'Indonesia']",100000,"Jl H.M. Joyomartono No. 28, Bekasi Timur, Bekasi",3.3,5,Bekasi Kota,Jawa Barat,-6.2576215547,107.020886689
6642,Celine Dorayaki,['Kios'],['Desserts'],['Indonesia'],60000,"Mall Kelapa Gading 1&2, Lantai 1, Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta",2.6,8,Jakarta Utara,DKI Jakarta,-6.1579901645,106.907446347
6643,Portum,['Quick Bites'],['Kopi'],['Indonesia'],80000,"Jl. Bintaro Permai II No. 21, Bintaro, Jakarta",3.3,4,Jakarta Selatan,DKI Jakarta,-6.260546,106.764378
6644,Dapur Iga,['Food Court'],['Kopi'],['Betawi'],100000,"Summarecon Mall Bekasi, Lantai 3, Food Temptation, Bekasi Utara, Bekasi",2.8,5,Bekasi Kota,Jawa Barat,-6.2254841887,107.00209714399999
6645,FI/FO Coffee Box,['Toko Minuman'],"['Kopi', 'Minuman']",['No Region'],50000,"Wisma Ritra, Jl. Warung Jati Barat No. 6, Pasar Minggu, Jakarta",3.6,15,Jakarta Selatan,DKI Jakarta,-6.264474,106.83071499999998
6646,Cakadidi Coffee & Eatery,['Kafe'],"['Tea', 'Kopi', 'Minuman']","['No Region', 'Indonesia']",120000,"Ruko Vila Nusa Indah, Blok W3 No. 1, Jl. Villa Nusa Indah, Jatiasih, Bekasi",3.3,8,Bogor Kabupaten,Jawa Barat,-6.314726695499999,106.972764506
6647,Mie Toping,['Quick Bites'],"['Bubur', 'Bakmi']","['Asia', 'Indonesia']",70000,"Ruko Cibubur Indah No. A-20, Jl. Raya Lapangan Tembak, Cibubur, Jakarta",3.7,20,Jakarta Timur,DKI Jakarta,-6.352501284600001,106.883175708
6648,Absolut Quench,['Quick Bites'],['Kopi'],"['Jawa', 'Indonesia']",150000,"Plaza Blok M, Lantai Lower Ground, Jl. Bulungan No. 76, Blok M, Jakarta",3.1,8,Jakarta Selatan,DKI Jakarta,-6.244219254600001,106.797577031
6649,Kedai Ina,"['Quick Bites', 'Kafe']",['Desserts'],['Barat'],130000,"Jl. Jatimurni No. 2B, Pasar Minggu, Jakarta 12540",3.3,28,Jakarta Selatan,DKI Jakarta,-6.285669,106.829286
6650,Sop Buntut H. Soedik,['Quick Bites'],['Makanan Sehat'],['Indonesia'],250000,"Ruko Grand Galaxy, Jl. Boulevar Timur Raya Blok RNSB No, 2, Bekasi Selatan, Bekasi",3.4,8,Bekasi Kota,Jawa Barat,-6.275531,106.97423899999998
6651,Geprek Pak Boss!,['Quick Bites'],['Ayam'],"['Jawa', 'Indonesia']",50000,"Taman Surya 2, Blok C2 No. 7, Jl. Taman Surya, Cengkareng, Jakarta",3.7,10,Jakarta Barat,DKI Jakarta,-6.132771,106.713804
6652,Kopi Perang,['Toko Minuman'],"['Tea', 'Kopi', 'Minuman']",['No Region'],80000,"Pasar Cipete, Blok C AKS 001, Jl. RS. Fatmawati, Fatmawati, Jakarta",3.1,7,Jakarta Selatan,DKI Jakarta,-6.260539,106.796805
6653,The Prime NND iCafe,"['Quick Bites', 'Kafe']","['Tea', 'Kopi']","['No Region', 'Barat']",50000,"The Icon Business Park, Blok K No. 9-10, Jl. Raya Cisauk, Serpong, Tangerang",3.3,5,Tangerang Kabupaten,Banten,-6.321157,106.64178400000002
6654,Offshore Coffee & Kitchen,"['Casual Dining', 'Kafe']","['Kopi', 'Minuman']","['No Region', 'Barat', 'Indonesia', 'Itali']",120000,"Ruko Margasatwa View, Jl. Margasatwa No. 43, Fatmawati, Jakarta",3.5,18,Jakarta Selatan,DKI Jakarta,-6.311103,106.803385
6655,Pok Chop 18,['Food Court'],['Kopi'],"['Chinese', 'Indonesia']",100000,"Mega Glodok Kemayoran, Lantai 3, Food Court, Jl. Angkasa, Gunung Sahari, Jakarta",3.2,14,Jakarta Pusat,DKI Jakarta,-6.1549847487000005,106.84927392700001
6656,Ayam Bringas Bang To'ung,['Quick Bites'],['Ayam'],['Betawi'],80000,"Jl. Labu No. 20, Koja, Jakarta",3.3,7,Jakarta Utara,DKI Jakarta,-6.1162160000000005,106.914657
6657,Edwin's Kupi,['Quick Bites'],['Kopi'],['Aceh'],70000,"Jl. Cinere Raya, No. 22A, Cinere, Depok",3.5,14,Depok,Jawa Barat,-6.326092,106.78433
6658,MET COFFEE,['Kafe'],"['Kopi', 'Minuman']",['No Region'],100000,"Jl. Puri Kencana Blok K7 No. 2E-F, Puri Indah, Jakarta",2.5,4,Jakarta Barat,DKI Jakarta,-6.1906132976,106.746946647
6659,Eight Benaddict,['Quick Bites'],['Kopi'],"['Barat', 'Itali', 'Asia']",120000,"Jl. Duri Selatan I, Blok A No. 3, Tambora, Jakarta",3.5,6,Jakarta Barat,DKI Jakarta,-6.160262,106.806273
