Website,Delivery Service
https://www.zomato.com/id/jakarta/ling-ling-dim-sum-tea-house-senopati,Yes
https://www.zomato.com/id/jakarta/mama-noura-restaurant-cisarua-bogor,Yes
https://www.zomato.com/id/jakarta/segye-bunsik-korean-restaurant-jatiuwung-tangerang,Yes
https://www.zomato.com/id/jakarta/kayu-kayu-restaurant-pinang-tangerang,Yes
https://www.zomato.com/id/jakarta/niku-niku-shabu-house-grill-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/williams-scbd,Yes
https://www.zomato.com/id/jakarta/noble-by-zab-thai-senopati,Yes
https://www.zomato.com/id/jakarta/kluwih-sunda-authentic-bogor-timur-bogor,Yes
https://www.zomato.com/id/jakarta/pondok-indah-raya-5-cisarua-bogor,Yes
https://www.zomato.com/id/jakarta/kopi-kalyan-senopati,Yes
https://www.zomato.com/id/jakarta/3rd-place-posto-dormire-hotel-grogol,Yes
https://www.zomato.com/id/jakarta/paris-sorbet-senopati,Yes
https://www.zomato.com/id/jakarta/ol-pops-coffee-bintaro,Yes
https://www.zomato.com/id/jakarta/pison-coffee-senopati,Yes
https://www.zomato.com/id/jakarta/coffee-dia-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/masalalu-bekasi-selatan-bekasi,Yes
https://www.zomato.com/id/jakarta/dock-of-tuna-fatmawati,Yes
https://www.zomato.com/id/jakarta/pizza-hut-1-thamrin,Yes
https://www.zomato.com/id/jakarta/taeyang-sung-2-tanjung-duren,Yes
https://www.zomato.com/id/jakarta/pasola-the-ritz-carlton-pacific-place-scbd,Yes
https://www.zomato.com/id/jakarta/raindear-coffee-kitchen-bogor-timur-bogor,Yes
https://www.zomato.com/id/jakarta/high-style-hotpot-senopati,Yes
https://www.zomato.com/id/jakarta/serba-food-cibodas-tangerang,Yes
https://www.zomato.com/id/jakarta/senyata-senopati,Yes
https://www.zomato.com/id/jakarta/monks-kelapa-gading,Yes
https://www.zomato.com/id/jakarta/ciknic-roast-chicken-dharmawangsa,Yes
https://www.zomato.com/id/jakarta/bijin-nabe-senayan,Yes
https://www.zomato.com/id/jakarta/raja-konro-daeng-naba-cilandak,Yes
https://www.zomato.com/id/jakarta/sanki-senopati,Yes
https://www.zomato.com/id/jakarta/abang-adek-roxy,Yes
https://www.zomato.com/id/jakarta/takoyaki-naruto-1-melawai,Yes
https://www.zomato.com/id/jakarta/sale-italian-ristorante-serpong-tangerang,Yes
https://www.zomato.com/id/jakarta/kfc-3-daan-mogot,Yes
https://www.zomato.com/id/jakarta/overtaste-serpong-utara-tangerang,Yes
https://www.zomato.com/id/jakarta/a-w-sawah-besar,Yes
https://www.zomato.com/id/jakarta/bebek-bentu-cempaka-putih,Yes
https://www.zomato.com/id/jakarta/sichuan-palace-gajah-mada,Yes
