Restaurant Name,Restaurant Area,Restaurant Address,Latitude,Longitude,Province,City,District/Kecamatan
The Silk Route Restaurant,Gunung Sahari,"Sainath Tower, Lantai 21, Jl. Selangit, Blok B9 No. 7, Gunung Sahari, Jakarta",-6.155811,106.844857,DKI Jakarta,Jakarta Pusat,Kemayoran
Meatime,Serpong Utara,"Pasar Modern Paramount, Jl. Boulevard Raya Gading Serpong, Serpong Utara, Tangerang",-6.248779268,106.62328943600001,Banten,Tangerang Kabupaten,Kelapa Dua
RICARAJA,Kelapa Gading,"Jl. Boulevard Raya, Blok TA 2 No. 7, Kelapa Gading, Jakarta",-6.172416,106.897602,DKI Jakarta,Jakarta Utara,Kelapa Gading
Cimon Seafood,Karet,"Jl. Prof. Dr. Satrio No. 18, Karet, Jakarta 12920",-6.221914,106.821422,DKI Jakarta,Jakarta Selatan,Setiabudi
Ramurasa,Kemang,"Jl. Kemang Timur No .48A, Kemang, Jakarta",-6.266044,106.823992,DKI Jakarta,Jakarta Selatan,Mampang Prapatan
Rumoh Kupi Premium,Tanah Sareal,"Jl. Jenderal Ahmad Yani No. 58, Tanah Sareal, Bogor",-6.575635000000001,106.80071,Jawa Barat,Bogor Kota,Tanah Sereal
Seblak Wae-Atuh,Tanjung Duren,"Jl. Tanjung Duren Utara 4 No. 450, Tanjung Duren, Jakarta",-6.1720923245,106.783019341,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Ngunya,Pondok Aren,"Ruko Marga No. 7, Jl. Bintaro Utama No. 3A, Pondok Aren, Tangerang",-6.270008,106.733486,Banten,Tangerang Selatan,Ciputat Timur
Kampoeng Koffie,Cempaka Putih,"Jl. Cempaka Putih Raya, Blok Q1 No. 9, Cempaka Putih, Jakarta",-6.1747086463,106.86026394299999,DKI Jakarta,Jakarta Pusat,Cempaka Putih
Luwih Coffee & Eatery,Senopati,"Jl. Cikatomas 1 No. 14, Senopati, Jakarta",-6.2374518176,106.809592656,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Ruang Konspirasi - Kopi + Inspirasi,Serpong Utara,"Graha Raya Bintaro, Ruko Cornelia, Blok A No. 2, Jl. Cornelia Pondok Jagung Timur, Serpong Utara, Tangerang Selatan.",-6.249183,106.673293,Banten,Tangerang Selatan,Serpong Utara
Sate Tegal Abu Salim,Kramat Jati,"Jl. Raya Condet No. 2, Kramat Jati, Jakarta",-6.272819,106.857177,DKI Jakarta,Jakarta Timur,Kramatjati
Nasi Goreng Guan Tjo,Bogor Tengah,"Jl. Suryakencana No. 193, Bogor Tengah, Bogor",-6.6080964281,106.802516654,Jawa Barat,Bogor Kota,Bogor Tengah
Bakmi Sui Sen,Pasar Baru,"Metro Atom Plaza, Lantai 1, Jl. K.H. Samanhudi, Pasar Baru, Jakarta",-6.161438,106.833908,DKI Jakarta,Jakarta Pusat,Sawah Besar
PAL8,Karet,"Ascott Sudirman Jakarta, Lantai Ground, Jl. Prof. DR. Satrio No.KAV. 11, Karet, Jakarta",-6.2226984687,106.820009015,DKI Jakarta,Jakarta Selatan,Setiabudi
Tori-Ichi Japanese Street Yakitori,Pondok Indah,"Street Gallery, Lantai 1, Jl. Metro Pondok Indah, Pondok Indah, Jakarta",-6.266615,106.784116,DKI Jakarta,Jakarta Selatan,Kebayoran Lama
Bakmi Garing,Karet,"Jl. Prof. Dr. Satrio No. 238, Karet, Jakarta",-6.2213159356,106.82083077700001,DKI Jakarta,Jakarta Selatan,Setiabudi
Lugano Cafe,Serpong Utara,"Jl. BSD Raya Utama, Serpong Utara, Tangerang",-6.273574,106.633068,Banten,Tangerang Kabupaten,Pagedangan
Mars Kitchen,Fatmawati,"Jl. RS Fatmawati No. 14B, Fatmawati, Jakarta",-6.287507,106.795199,DKI Jakarta,Jakarta Selatan,Cilandak
Volare,Fatmawati,"Cilandak Town Square, Jl. TB Simatupang, Fatmawati, Jakarta",-6.291787,106.800007,DKI Jakarta,Jakarta Selatan,Cilandak
Nusa Indah,Gandaria,"Jl. KH. Ahmad Dahlan No. 33, Gandaria, Jakarta",-6.246212,106.792073,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Ayam Taliwang Lima Rasa,Karet,"Jl. Prof. Dr. Satrio No. 18, Karet, Jakarta",-6.2221921847,106.821555979,DKI Jakarta,Jakarta Selatan,Setiabudi
KOPINIAN Cafe,Duren Sawit,"Jl. Raden Inten II No. 85 B, Duren Sawit, Jakarta",-6.246881,106.919472,DKI Jakarta,Jakarta Timur,Duren Sawit
Terra Coffee & Pattiserie,Meruya,"Kampung Makan Joglo 21, Jl. Joglo Raya No. 21, Meruya, Jakarta",-6.220053,106.739768,DKI Jakarta,Jakarta Barat,Kembangan
Afterhour,Pantai Indah Kapuk,"Jl. Pantai Indah Utara 2, Blok FD Kav. k2, Pantai Indah Kapuk, Jakarta 14460",-6.1158014534000005,106.75642021,DKI Jakarta,Jakarta Utara,Penjaringan
Chatter Box,Senayan,"Plaza Senayan, Lantai 5, SOGO, Jl. Asia Afrika No. 8, Senayan, Jakarta",-6.2247032687,106.799014024,DKI Jakarta,Jakarta Pusat,Tanah Abang
Hiroya Japanese Restaurant,Rawamangun,"Jl. Anggrek No. 33, Rawamangun, Jakarta",-6.200158999999998,106.888351,DKI Jakarta,Jakarta Timur,Pulogadung
UncleBrew Kopi Feat Warmeals,Pondok Gede,"Jl. Raya Jatiwaringin No. 2, Pondok Gede, Bekasi",-6.277863,106.913018,Jawa Barat,Bekasi Kota,Pondok Gede
Saigon Coffee Shop,Green Ville,"Jl. Green Ville, Blok AS No. 35, Green Ville, Jakarta",-6.169353,106.770739,DKI Jakarta,Jakarta Barat,Kebon Jeruk
Sixth On Rooftop - Cordela Norwood Hotel,Cikini,"Cordela Norwood Hotel, Jl. Teuku Cik Ditiro II No. 2, Cikini, Jakarta",-6.193745,106.837374,DKI Jakarta,Jakarta Pusat,Menteng
Backyard Coffee and Shop,Bintaro,"Jl. Pondok Betung Raya No. 1, Bintaro, Jakarta",-6.260742,106.747689,Banten,Tangerang Selatan,Pondok Aren
G'litik Indonesia Eatery,Senopati,"Jl. Birah Raya No. 9, Senopati, Jakarta",-6.236055658300001,106.81469287700001,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Bakpau B Delapan,Jelambar,"Komplek Taman Duta Mas, Jl. Kusuma 1, Blok B8 No. 8, Jelambar, Jakarta",-6.148934,106.779114,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Kozy Hub,Kebayoran Lama,"Jl. Pos Pengumben Lama No. 27, Kebayoran Lama, Jakarta",-6.217632,106.765421,DKI Jakarta,Jakarta Barat,Kebon Jeruk
Nasi Pedas Oseng Juragan,Serpong Utara,"Jl. Gading Serpong Ruko Spark Blok B No 3-5, Serpong Utara, Tangerang",-6.277164,106.664141,Banten,Tangerang Selatan,Serpong Utara
Cascara,Serpong Utara,"Ruko Darwin, No, 68, Jl. Raya Scientia, Serpong Utara, Tangerang",-6.254988,106.611019,Banten,Tangerang Kabupaten,Pagedangan
Rhythm Room Space & Bar - Goodrich Suites Jakarta,Fatmawati,"Goodrich Suites Jakarta, Jl. Pangeran Antasari No. 60, Fatmawati, Jakarta",-6.2645940000000016,106.808603,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Chaiholics,Kuningan,"JW Marriott, Kawasan Mega Kuningan, Jl. Dr Ide Anak Agung Gde Agung",-6.2277322853,106.82719498799999,DKI Jakarta,Jakarta Selatan,Setiabudi
RM Pangeran Khas Minang,Serpong Utara,"Jl. Raya Serpong Priyang No. 67, Serpong Utara, Tangerang",-6.258826999999998,106.652284,Banten,Tangerang Selatan,Serpong Utara
Bumbu Pekalongan,Serpong Utara,"Ruko Crystal 1 No. 11-12, Jl. Kelapa Gading Selatan, Gading Serpong, Near Serpong Utara, Tangerang",-6.2460239999999985,106.637777,Banten,Tangerang Kabupaten,Kelapa Dua
Brownstones,Pondok Aren,"Jl. Bintaro Utama 3A, Blok DD12 No. 41, Pondok Aren, Tangerang",-6.269316000000001,106.734889,Banten,Tangerang Selatan,Pondok Aren
Gora Coffee & Eatery,Tebet,"Jl. Tebet Raya No. 11G, Tebet, Jakarta",-6.229808,106.850413,DKI Jakarta,Jakarta Selatan,Tebet
FJ Rotisserie,Dharmawangsa,"Dharmawangsa Square, Lantai Ground, Jl. Dharmawangsa VI, Dharmawangsa, Jakarta",-6.252962300499999,106.801577545,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
YOGO The Yoghurt Juice,Serpong Utara,"Living World Alam Sutera, Upper Ground, Jalan Alam Sutera Boulevard Kav. 21, Serpong Utara, Tangerang, Serpong Utara, Tangerang",-6.244219,106.653434,Banten,Tangerang Selatan,Serpong Utara
Surabi Duren Sukasari,Bogor Timur,"Jl. Sukasari III No. 29, Bogor Timur, Bogor",-6.6185140824,106.81522395399999,Jawa Barat,Bogor Kota,Bogor Timur
Restoran Ayam Jerit by Titi Kamal,Bendungan Hilir,"Teras Benhil, Lantai 1, Jl. Bendungan Hilir Raya No. 34, Bendungan Hilir, Jakarta",-6.214482542000001,106.815106608,DKI Jakarta,Jakarta Pusat,Tanah Abang
Soho Bistro,Sudirman,"Wisma BNI 46, Lantai 2, Jl. Jenderal Sudirman, Sudirman, Jakarta",-6.203386,106.819898,DKI Jakarta,Jakarta Pusat,Tanah Abang
Toko Kopi Satu,Blok M,"Jl. Sampit I No. 18, Blok M, Jakarta",-6.2453824251,106.796111539,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
The Cake House,Cinere,"Jl. Raya Cinere, Blok D No. 9, Cinere, Depok",-6.333872,106.78288899999998,Jawa Barat,Depok,Cinere
Matamata Coffee,Kelapa Gading,"Jl. Boulevard Raya, Blok FV 1 No. 1, Kelapa Gading, Jakarta",-6.165873,106.902201,DKI Jakarta,Jakarta Utara,Kelapa Gading
Bakmi Ahong,Gajah Mada,"Jl. Blandongan No. 74B, Gajah Mada, Jakarta",-6.142784,106.810624,DKI Jakarta,Jakarta Barat,Tamansari
Algorithm Coffee & Dessert,Serpong Utara,"Ruko Mendrisio 3, Blok B No. 19, Jl. BSD Raya Utama, Gading Serpong, Serpong Utara, Tangerang",-6.266343,106.630645,Banten,Tangerang Kabupaten,Pagedangan
Gigabites Cyber Cafe & Eatery,Grogol,"Jl. Makaliwe Raya No. 39 B-C, Grogol, Jakarta",-6.1645949999999985,106.789681,DKI Jakarta,Jakarta Barat,Grogol Petamburan
Cafe Zamrud,Jatinegara,"Jl. Masjid II No. 10, Jatinegara, Jakarta",-6.2191731353,106.871253289,DKI Jakarta,Jakarta Timur,Jatinegara
Waroeng Pedes Sedep,Cikini,"Jl. Raden Saleh Raya No. 45, Cikini, Jakarta",-6.192762,106.841456,DKI Jakarta,Jakarta Pusat,Menteng
Al-Tahrir Restaurant,Kuningan,"Plaza Festival, Lantai Lower Ground, Jl. HR Rasuna Said, Kuningan, Jakarta",-6.2208729776,106.832722015,DKI Jakarta,Jakarta Selatan,Setiabudi
Coffeewar,Kemang,"Jl. Kemang Timur Raya No. 39CD, Kemang, Jakarta",-6.265251577000001,106.82360149899999,DKI Jakarta,Jakarta Selatan,Mampang Prapatan
Waroeng Ngariung,Bogor Selatan,"Jl. Batu Tulis No. 32, Bogor Selatan, Bogor",-6.6184997616,106.80840041399999,Jawa Barat,Bogor Kota,Bogor Selatan
Keren Coffee,Pluit,"Landmark Pluit, Tower C, Lantai Ground, Jl. Pluit Selatan Raya No. 16-17, Pluit, Jakarta",-6.1242429296,106.799493804,DKI Jakarta,Jakarta Utara,Penjaringan
The Square Restaurant - Novotel Hotel,Kec. Tangerang,"Novotel Hotel, Tangcity Superblock, Jl. Jend. Sudirman No. 1, Kec. Tangerang, Tangerang",-6.194333,106.634474,Banten,Tangerang Kota,Tangerang
MATANG,Kemang,"Jl. Kemang Timur Raya No. 98, Kemang, Jakarta",-6.272518,106.821661,DKI Jakarta,Jakarta Selatan,Mampang Prapatan
Babekyu Niku Buffet,Gajah Mada,"Grand Paragon Mall, Lantai LG, Jl. Gajah Mada No. 126, Gajah Mada, Jakarta",-6.151646,106.816176,DKI Jakarta,Jakarta Barat,Tamansari
E.T. Bakery,Mampang Prapatan,"Jl. Mampang Prapatan Raya No. 42C, Mampang Prapatan, Jakarta",-6.241696,106.825495,DKI Jakarta,Jakarta Selatan,Mampang Prapatan
Bakmi Roxy,Beji,"Jl. Margonda Raya No. 17, Beji, Depok",-6.388727416699999,106.826105676,Jawa Barat,Depok,Beji
Segoan The Dancing Rice,Blok M,"Jl. Lamandau IV No. 18, Blok M, Jakarta",-6.243024,106.793136,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
Kedai Popo,Muara Karang,"Jl. Muara Karang Raya, Blok C2 Barat No. 118, Muara Karang, Jakarta",-6.111408,106.774023,DKI Jakarta,Jakarta Utara,Penjaringan
Griya Oetami,Kramat Jati,"Jl. Raya Condet No. 7, Kramat Jati, Jakarta",-6.267263,106.860116,DKI Jakarta,Jakarta Timur,Kramatjati
The Kim Palace,Pluit,"Pluit Village Mall, Lantai 3, Jl. Pluit Indah No. 119, Pluit, Jakarta",-6.116368512,106.788750551,DKI Jakarta,Jakarta Utara,Penjaringan
