Restaurant Name,Restaurant Type,Cuisine Type,Restaurant Area,Restaurant Rating,Review Counts,Latitude,Longitude,Website,Restaurant Address,Price for 2,Additional Info
Murabene,Quick Bites,"['Fusion', 'Jepang']",Bekasi Selatan,Not Rated Yet,TIdak cukup Ulasan,-6.2745360000,106.974466000,"https://www.zomato.com/id/jakarta/murabene-bekasi-selatan-bekasi
","Rukan Grand Galaxy City, Blok RGB No. 87, Jl. Boulevard Raya Barat, Bekasi Selatan, Bekasi",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Mie Benteng,Quick Bites,['Bakmi'],Benda,Not Rated Yet,TIdak cukup Ulasan,-6.0904840000,106.692582000,"https://www.zomato.com/id/jakarta/mie-benteng-benda-tangerang
","Bandara City Mall, Ruko SA No. 25, Jl. Raya Perancis, Benda, Tangerang",Rp60.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Ayam Rempah Warisan,Food Court,['Indonesia'],Kec. Tangerang,Not Rated Yet,TIdak cukup Ulasan,-6.1936080000,106.633795000,"https://www.zomato.com/id/jakarta/ayam-rempah-warisan-kec-tangerang-tangerang
","Tangerang City Mall, Lantai 2, Rame-Rame Street Food, Jl. Jendral Sudirman number. 1, Kec. Tangerang, Tangerang",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Saung Ikan Nusantara,Casual Dining,['Seafood'],Bekasi Barat,Not Rated Yet,TIdak cukup Ulasan,-6.2263250000,106.951168000,"https://www.zomato.com/id/jakarta/saung-ikan-nusantara-bekasi-barat
","Jl. Bintara 4, Bekasi Barat, Bekasi",Rp150.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Wifi Tersedia', 'Tempat duduk di luar', 'Reservasi meja direkomendasikan']"
Bolu Pisang Ibu Onih,Toko Kue & Roti,['Kue & Roti'],Kebayoran Lama,Not Rated Yet,TIdak cukup Ulasan,-6.2071980000,106.783416000,"https://www.zomato.com/id/jakarta/bolu-pisang-ibu-onih-kebayoran-lama
","Jl. Raya Kebayoran Lama No. 65, Kebayoran Lama, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Hanya Bawa Pulang', 'Parkir Gratis', 'Desserts and Bakes']"
Bakso Sapi Pak Mul,Food Court,"['Bakso', 'Jawa']",Sudirman,Not Rated Yet,TIdak cukup Ulasan,-6.2102450000,106.819665000,"https://www.zomato.com/id/jakarta/bakso-sapi-pak-mul-sudirman
","Sahid Food StrEAT, Jl. Jenderal Sudirman No. 86, Sudirman, Jakarta",Rp75.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Kuning Coffee,Kafe,['Kopi'],Bekasi Utara,Not Rated Yet,TIdak cukup Ulasan,-6.2301033585,107.003659866,"https://www.zomato.com/id/jakarta/kuning-coffee-bekasi-utara-bekasi
","Jl. Perjuangan Raya, Bekasi Utara, Bekasi",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Wifi Tersedia']"
Ikan Bakar 1000 Pulau,Casual Dining,"['Seafood', 'Grill House']",Pancoran Mas,Not Rated Yet,TIdak cukup Ulasan,-6.3996284088,106.822303645,"https://www.zomato.com/id/jakarta/ikan-bakar-1000-pulau-pancoran-mas-depok
","Jl. Siliwangi No. 7J, Pancoran Mas, Depok",Rp150.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan', 'Reservasi meja direkomendasikan']"
Let's Eat !,Quick Bites,['Chinese'],Jelambar,Not Rated Yet,TIdak cukup Ulasan,-6.1494060000,106.780981000,"https://www.zomato.com/id/jakarta/lets-eat-jelambar
","Komplek Taman Duta Mas, Jl. Kusuma, Blok A7 No. 25, Jelambar, Jakarta",Rp100.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
OMAH KOPI ITEM PUTI,Kafe,"['Amerika', 'Asia', 'Minuman', 'Kopi']",Ciputat Timur,Not Rated Yet,TIdak cukup Ulasan,-6.2962310000,106.747515000,"https://www.zomato.com/id/jakarta/omah-kopi-item-puti-ciputat-timur-tangerang
","JL. W. R. Supratman No. 6, Ciputat Timur, Tangerang",Rp180.000 untuk 2 orang (perkiraan),"['Sarapan', 'Pilihan Bebas Gluten', 'Makan Dengan Grup', 'Parkir Gratis', 'Di dalam ruangan', 'Reservasi meja direkomendasikan', 'Area Merokok', 'Kehidupan Malam', 'Ramah untuk Anak', 'Ruang Sholat', 'Wifi Tersedia']"
MM Seafood,Food Court,['Seafood'],Jatiuwung,Not Rated Yet,TIdak cukup Ulasan,-6.2235560000,106.587610000,"https://www.zomato.com/id/jakarta/mm-seafood-jatiuwung-tangerang
","Permata Sport Club, Jl. Taman Permata, Jatiuwung, Tangerang",Rp80.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Martabak AKHIM,Quick Bites,"['Bakmi', 'Martabak']",Serpong,Not Rated Yet,TIdak cukup Ulasan,-6.3076660000,106.673778000,"https://www.zomato.com/id/jakarta/martabak-akhim-serpong-tangerang
","Ruko Versailles, Blok FA No. 17, Jl. Wortel I, Serpong, Tangerang",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Desserts and Bakes', 'Drive Through', 'Accepts Cryptocurrency', 'Di dalam ruangan']"
Lak Cee,Quick Bites,['Makanan Jalanan'],Penjaringan,Not Rated Yet,Not Reviewed Yet,-6.1272991899,106.791190020,"https://www.zomato.com/id/jakarta/lak-cee-penjaringan
","Emporium Pluit Mall, Jl. Pluit Selatan Raya, Penjaringan, Jakarta",Rp80.000 untuk 2 orang (perkiraan),['Hanya Bawa Pulang']
Carl's Jr.,Quick Bites,['Burger'],Serpong,Not Rated Yet,TIdak cukup Ulasan,-6.2978210000,106.640198000,"https://www.zomato.com/id/jakarta/carls-jr-serpong-tangerang
","Floating Castle, Cluster Commercial Park Barat No. 1, Jl. Grand Boulevard, BSD City, Serpong, Tangerang",Rp180.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
Bebek Tengil,Food Court,['Indonesia'],Kuningan,Not Rated Yet,TIdak cukup Ulasan,-6.2188001691,106.835055872,"https://www.zomato.com/id/jakarta/bebek-tengil-kuningan
","Epicentrum Walk, Lantai 1, Eat & Eat, Jl. HR. Rasuna Said, Kuningan, Jakarta",Rp80.000 untuk 2 orang (perkiraan),"['Di dalam ruangan', 'Wifi Tersedia']"
Pondok Dahar Mbah Beres,Quick Bites,['Indonesia'],Bekasi Barat,Not Rated Yet,TIdak cukup Ulasan,-6.2416950000,106.969064000,"https://www.zomato.com/id/jakarta/pondok-dahar-mbah-beres-bekasi-barat-bekasi
","Jl. Patriot No.100 A, Bekasi Barat, Bekasi",Rp100.000 untuk 2 orang (perkiraan),"['Sarapan', 'Bawa Pulang Tersedia', 'Di dalam ruangan', 'Area Merokok']"
Bakso Wonogiri Lek Win,Quick Bites,['Bakso'],Makasar,Not Rated Yet,TIdak cukup Ulasan,-6.2657790000,106.879273000,"https://www.zomato.com/id/jakarta/bakso-wonogiri-lek-win-makasar
","Jl. Komodor Halim Perdana Kusuma No. 40, Makasar, Jakarta",Rp70.000 untuk 2 orang (perkiraan),"['Bawa Pulang Tersedia', 'Di dalam ruangan']"
